Name
Lerer Hippeau
"Levisay Investment, LLC"
Lior Prosor
Lisa Blau
Lowercase Capital
Lucas Nealan
M.G. Siegler
Manish Kheterpal
Manu Chauhan
Manu Kumar
Marc Andreessen
Marc Benioff
Marc McCabe
Marco Bergmann
Marcus Ogawa
Mark Friedgan
Mark Hager
Mark Kantor
Mark LaRosa
Mark Schwartz
Matt Brezina
Matt Cutts
Matt Gilbert
Matt Howland
Matt Humphrey
Matt Ocko
Matthew Ayers
Matthew Smith
Mattias Ljungman
Max Levchin
Meg Nakamura
Meyer Malka
Michael Berolzheimer
Michael Birch
Michael Kidd
Michael Kinsbergen
Michael Neril
Michael Stoppelman
Michael Witz
Michael Yang
Mike Bergelson
Mike Bollinger
Mike Buckley
Mike Edelhart
Mike Greenfield
Mike Hodges
Mike Katz
Mike Walsh
"Milena Adamian, MD"
Millie Tadewaldt
Mitch Kapor
Mitch Liu
Morgan Stanley
"N. Wilberforce, PhD"
NXTP Labs
Nancy Hua
Nasir Jones
Naval Ravikant
Neha Narula
Neil Chheda
Neil McClements
Neil Tucker
New Enterprise Associates
Nick Bilogorskiy
Nick Gopalani
Nick McCann
Nihal Mehta
Niko Bonatsos
Nils Johnson
Nisha Pillai
Nitesh Banta
Northcap Partners
Oliver Jung
Omar El-Ayat
Orion Henry
Other Swiftype Investors
Othman Laraki
Paige Craig
Pat Matthews
Patrick Collison
Patrick Eggen
Patrick S. Chung
Paul Buchheit
Paul Graham
Paul Knag Jr
Paul Sethi
Paul Singh
Pawel Chudzinski
Pedram Keyani
Pedro Torres-Mackie
Peter Bordes
Peter Kan
Peter Kellner
Philip Fung
Philip Grieshaber
Philip Kaplan
Philippe Guelton
Pietro Dova
Point Nine Capital
Prashant Chaudhary
Prashant Malik
QED Investors
Queensbridge Partners
Queensbridge Venture Partners
Quest Venture Partners
Quotidian Ventures
Rackspace
Raj Sandhu
Rakesh Agrawal
Ram S. Ramanujam
Ramsey Chapin
Randall Winters
Ravi Srivastava
Ray Ozzie
Raymond Lei
Raymond Tonsing
Redpoint
Redpoint Ventures
Reid Hoffman
Rett Wallace
Richard Chen
Richard Tapalaga
Rick Marini
Rick Timmins
Rizwan Virk
Rob Hutter
Rob Weber
Robby Walker
Robert Dang
Robert Simon
Robert Weber
Roelof Botha
Roger Dickey
Roj Niyogi
Ron Garret
Ronnie Cheng
Ronny Conway
Rory Cameron
Ross Weber
Russell Siegelman
Rustic Canyon Partners
Ruth Ann Harnisch
Ryan Merket
Ryan Orr
Ryan Snodgrass
Ryan Weber
SV Angel
Saar Gur
Sachin Agarwal
Sajid Rahman
Salesforce Ventures
Sallie Krawcheck
Sam Altman
Scale Venture Partners
Scaleworks
Scott Hendrick
Scott Miller
Scott and Cyan Banister
Sean Glass
Sean Smith
Sequoia Capital
Seraph Group
Seth Berman
Seth Ginns
Shaun Cooley
Sherpa Capital
Sherpalo
Sherpalo Ventures
Sid Murlidhar
Signatures Capital
Sim Blaustein
Social Starts
Srini Panguluri
Stacey Olliff
Start Fund
Stefano Sola
Stephen Culp
Stephen DeBerry
Steve Anderson
Steve Edgren
Steve Huffman
Steve Newcomb
Steven Grimm
Steven Muller
Steven Trieu
Structure Capital
Sunil Bhargava
Susan McPherson
T. Rowe Price
T. Rowe Price  Associates
T. Rowe Price.
TK Kuegler
TK Mori
TPG Capital
TPG Growth
TSVC
Takahiro Shoji
Tandem Capital
Tandem Entrepreneurs
Technology Crossover Ventures
Temasek Holdings
Thomas D. Lehrman
Thomas Korte
Tiger Global
Tiger Global Management
Tikhon Bernstam
Tim Cederman-Haysom
Tim Fong
Tim Young
Ting Huang
Tom Fallows
Tom McInerney
Tom Newbold
Tom Robinson
Tomoya Sasaki
Toni Schneider
Tony L. Chen
Topher Conway
Tracy Brennan
Trevor Blackwell
Troy Carter
True Ventures
Turn/River Capital
Tyler Jewell
Tyra Banks
U.S. Venture Partners
Umesh Unnikrishnan
Union Square Ventures
Vayner Media
VaynerMedia
Vic Singh
Vijay Pandurangan
Vipul Patel
WGI Group
Warren Hogarth
Wasabi Ventures
Wayne Crosby
Waynn Lue
Webb Investment Network
Wefunder
Wellington Management
Winston Wei
Wolfgang Buehler
XG Ventures
Xin Ma
Y Combinator
Yee Lee
Yishan Wong
Yun-Fang Juan
Yuquan Wang
Yuri Milner
Zac Auger
Zachary Aarons
ZenStone Venture Capital
Zillionize
brian pokorny
initial : capital
tcv
